Symbol,Price~,"Exp Date",DTE,Type,Strike,Moneyness,Bid,Ask,Volume,"Open Int","OI Chg",Vol/OI,IV,Delta,Time
PLUG,2.22,2025-10-17,27,Call,2.50,-14.68%,0.18,0.19,16224,54469,"+51,727",0.3,123.65%,0.40917,2025-09-19
INTC,29.51,2025-10-17,27,Call,35.00,-18.32%,0.52,0.54,47772,47645,"+41,982",1,65.11%,0.197254,2025-09-19
MARA,17.67,2025-09-26,6,Call,20.50,-12.08%,0.2,0.22,1475,39575,"+38,313",0.04,92.87%,0.186038,2025-09-19
RKT,20.19,2025-09-26,6,Call,21.50,-4.83%,0.38,0.47,2515,38721,"+37,564",0.06,76.59%,0.335859,2025-09-19
RKT,20.19,2025-09-26,6,Put,19.50,-4.92%,0.34,0.39,584,50265,"+37,509",0.01,72.57%,-0.275579,2025-09-19
NVDA,175.5,2025-09-26,6,Call,190.00,-7.55%,0.15,0.16,27827,48795,"+32,497",0.57,33.41%,0.048417,2025-09-19
SMR,45.31,2025-09-26,6,Put,37.00,-20.89%,0.27,0.34,31658,32694,"+31,313",0.97,137.46%,-0.077595,2025-09-19
RGTI,26.52,2025-09-26,6,Put,24.00,-15.85%,0.61,0.67,3128,31172,"+31,123",0.1,161.69%,-0.173822,2025-09-19
RGTI,26.52,2025-09-26,6,Call,28.00,+1.82%,2.41,2.49,8261,30291,"+30,285",0.27,152.47%,0.57751,2025-09-19
INTC,29.51,2025-09-26,6,Call,35.00,-18.32%,0.12,0.14,32545,33386,"+30,284",0.97,93.29%,0.089574,2025-09-19
SMR,45.31,2025-09-26,6,Call,42.00,+10.20%,5.55,6,3687,32368,"+30,223",0.11,119.10%,0.783948,2025-09-19
SNAP,8.81,2025-09-26,6,Call,8.50,-4.17%,0.13,0.15,26968,44373,"+29,983",0.61,64.68%,0.32914,2025-09-19
MARA,17.67,2025-09-26,6,Call,19.00,-3.88%,0.44,0.46,8388,34336,"+29,813",0.24,79.54%,0.376182,2025-09-19
MSTR,337,2025-09-26,6,Call,375.00,-8.77%,1.85,1.94,36112,30677,"+29,776",1.18,59.44%,0.145409,2025-09-19
MARA,17.67,2025-09-26,6,Call,19.50,-6.62%,0.33,0.34,1620,28712,"+27,396",0.06,82.85%,0.293454,2025-09-19
MARA,17.67,2025-10-17,27,Call,22.00,-20.28%,0.62,0.63,14812,33855,"+26,843",0.44,88.79%,0.264053,2025-09-19
QS,13.05,2025-10-17,27,Call,11.00,+18.03%,3,3.1,4518,31030,"+26,312",0.15,115.51%,0.788235,2025-09-19
CLF,11.54,2025-10-17,27,Call,15.00,-29.20%,0.13,0.14,12077,29233,"+25,806",0.41,75.60%,0.127988,2025-09-19
NVDA,175.5,2025-09-26,6,Call,177.50,-0.47%,2.61,2.7,51140,51389,"+25,692",1,32.90%,0.470805,2025-09-19
OPEN,9.18,2025-09-26,6,Call,11.00,-14.94%,0.39,0.4,60649,36536,"+23,638",1.66,179.41%,0.312983,2025-09-19
COMP,8.27,2025-10-17,27,Call,10.00,-6.38%,0.45,0.5,3119,23413,"+22,404",0.13,71.52%,0.419005,2025-09-19
AI,17.74,2025-09-26,6,Call,18.50,-3.35%,0.28,0.31,902,37659,"+21,866",0.02,57.87%,0.345397,2025-09-19
BITF,3.1,2025-10-17,27,Call,4.00,-28.21%,0.34,0.39,3035,33672,"+21,729",0.09,188.86%,0.412658,2025-09-19
MARA,17.67,2025-09-26,6,Call,18.50,-1.15%,0.61,0.62,5005,26679,"+21,289",0.19,74.89%,0.474683,2025-09-19
NVDA,175.5,2025-10-17,27,Call,195.00,-10.38%,1.22,1.28,4113,63406,"+21,079",0.06,33.23%,0.155812,2025-09-19
MARA,17.67,2025-09-26,6,Call,20.00,-9.35%,0.26,0.27,7134,29789,"+20,899",0.24,88.62%,0.234626,2025-09-19
BITF,3.1,2026-01-16,118,Call,7.50,-140.38%,0.56,0.58,3711,62090,"+19,941",0.06,189.53%,0.39626,2025-09-19
NIO,7.34,2025-10-17,27,Put,7.00,-5.02%,0.44,0.47,689,24162,"+19,585",0.03,80.55%,-0.360685,2025-09-19
TSLA,431.4,2025-11-21,62,Call,500.00,-17.35%,20,20.15,5456,51163,"+19,047",0.11,62.45%,0.320853,2025-09-19
OPEN,9.18,2025-09-26,6,Put,9.00,-5.96%,0.49,0.51,14533,33989,"+17,763",0.43,158.96%,-0.342288,2025-09-19
NIO,7.34,2025-10-17,27,Call,8.00,-8.55%,0.46,0.47,12337,38202,"+17,492",0.32,87.02%,0.414982,2025-09-19
NVDA,175.5,2025-09-26,6,Call,185.00,-4.72%,0.47,0.5,46731,59134,"+17,483",0.79,31.74%,0.136851,2025-09-19
PLTR,180.35,2025-09-26,6,Call,182.50,-0.06%,4.6,4.75,17603,19169,"+17,310",0.92,49.75%,0.513401,2025-09-19
NIO,7.34,2025-10-17,27,Call,9.00,-22.12%,0.25,0.27,10460,35755,"+17,189",0.29,93.60%,0.25944,2025-09-19
RGTI,26.52,2025-09-26,6,Call,25.00,+12.34%,4.25,4.45,2710,17702,"+16,745",0.15,152.47%,0.780937,2025-09-19
RGTI,26.52,2025-09-26,6,Put,21.00,-26.37%,0.26,0.28,17372,17118,"+16,574",1.01,183.73%,-0.077808,2025-09-19
SOUN,16,2025-11-21,62,Call,19.00,-16.92%,2.01,2.03,12690,15636,"+15,551",0.81,110.50%,0.460178,2025-09-19
SHLS,7.34,2025-11-21,62,Call,8.00,-9.74%,0.9,0.95,2311,15344,"+15,344",0.15,96.38%,0.493046,2025-09-19
INTC,29.51,2025-09-26,6,Put,30.00,+1.42%,1.12,1.15,25940,15104,"+15,076",1.72,60.51%,-0.555034,2025-09-19
TSLA,431.4,2026-06-18,271,Call,960.00,-125.32%,13.35,13.55,29521,144088,"+15,047",0.2,65.94%,0.136574,2025-09-19
TSLA,431.4,2025-09-26,6,Put,320.00,-24.89%,0.26,0.27,6635,17892,"+14,412",0.37,103.43%,-0.012878,2025-09-19
BITF,3.1,2026-01-16,118,Call,5.00,-60.26%,0.82,0.85,10888,42772,"+14,267",0.25,183.23%,0.532159,2025-09-19
INTC,29.51,2025-09-26,6,Call,32.00,-8.18%,0.31,0.35,18139,14988,"+14,062",1.21,72.58%,0.213565,2025-09-19
TSLA,431.4,2026-06-18,271,Call,950.00,-122.97%,13.7,13.95,29866,125167,"+13,966",0.24,66.09%,0.141488,2025-09-19
NVDA,175.5,2025-09-26,6,Call,180.00,-1.88%,1.59,1.63,98711,64953,"+13,930",1.52,32.10%,0.33871,2025-09-19
SNAP,8.81,2025-10-10,20,Put,7.50,-8.09%,0.14,0.15,1133,14727,"+13,781",0.08,54.04%,-0.227681,2025-09-19
INTC,29.51,2026-01-16,118,Call,37.00,-25.08%,1.46,1.49,1104,43502,"+13,348",0.03,54.89%,0.294158,2025-09-19
GRAB,6.29,2025-10-10,20,Call,6.50,-1.72%,0.25,0.3,579,17071,"+13,083",0.03,57.48%,0.483259,2025-09-19
OPEN,9.18,2026-01-16,118,Call,21.00,-119.44%,1.55,1.61,4877,21855,"+12,997",0.22,172.93%,0.384192,2025-09-19
SNAP,8.81,2025-10-10,20,Put,8.00,-1.96%,0.32,0.34,1228,14668,"+12,878",0.08,56.09%,-0.40867,2025-09-19
AS,36.01,2025-10-17,27,Call,40.00,-6.81%,0.95,1.2,4144,13460,"+12,684",0.31,47.25%,0.33595,2025-09-19
CRWV,123.6,2025-09-26,6,Call,125.00,-0.11%,5.2,5.35,12475,15342,"+12,448",0.81,82.63%,0.519583,2025-09-19
JPM,309.44,2025-10-17,27,Call,335.00,-6.42%,1.84,2.07,609,12501,"+12,267",0.05,23.74%,0.183135,2025-09-19
DKNG,43.16,2025-12-19,90,Call,50.00,-15.07%,1.55,1.63,5883,34249,"+12,137",0.17,42.53%,0.304247,2025-09-19
INTC,29.51,2026-01-16,118,Call,45.00,-52.13%,0.68,0.7,2330,41938,"+12,130",0.06,60.39%,0.151129,2025-09-19
CRWV,123.6,2025-10-17,27,Call,135.00,-8.12%,7.05,7.35,3482,28148,"+11,716",0.12,80.46%,0.407962,2025-09-19
HTZ,6.81,2025-11-21,62,Call,7.00,-2.94%,1,1.05,13978,18823,"+11,663",0.74,100.10%,0.560919,2025-09-19
OSCR,18.79,2025-10-24,34,Call,18.50,+2.48%,2.2,2.25,2701,11622,"+11,542",0.23,86.66%,0.595572,2025-09-19
CORZ,16.34,2025-10-17,27,Call,20.00,-20.34%,0.29,0.32,13046,21122,"+11,122",0.62,68.12%,0.186893,2025-09-19
CRWV,123.6,2025-10-17,27,Call,145.00,-16.13%,4.6,4.75,1565,16927,"+11,094",0.09,82.50%,0.294566,2025-09-19
CRWV,123.6,2025-10-17,27,Call,140.00,-12.13%,5.75,5.9,7490,15952,"+10,824",0.47,82.12%,0.349564,2025-09-19
INTC,29.51,2025-09-26,6,Call,33.00,-11.56%,0.23,0.25,11875,11462,"+10,723",1.04,80.39%,0.157209,2025-09-19
AMZN,230.9,2025-10-17,27,Call,245.00,-5.84%,2.23,2.28,14199,26467,"+10,450",0.54,26.38%,0.238611,2025-09-19
ZVRA,7.66,2026-01-16,118,Call,14.00,-82.53%,0,0.4,600,10361,"+10,356",0.06,94.18%,0.202778,2025-09-19
ZVRA,7.66,2026-01-16,118,Call,9.00,-17.34%,1.4,1.5,929,10357,"+10,338",0.09,108.32%,0.527692,2025-09-19
CRWV,123.6,2025-09-26,6,Put,110.00,-11.90%,0.92,1,2108,16353,"+10,319",0.13,90.62%,-0.124176,2025-09-19
HTZ,6.81,2025-10-17,27,Call,9.00,-32.35%,0.15,0.2,976,42131,"+10,232",0.02,95.96%,0.175857,2025-09-19
SMR,45.31,2025-09-26,6,Call,41.00,+12.34%,6.1,7.2,12273,11805,"+10,192",1.04,121.63%,0.823031,2025-09-19
WOLF,2.17,2025-10-17,27,Call,2.00,+10.31%,0.39,0.47,17349,60597,"+10,098",0.29,116.35%,0.695809,2025-09-19
PLTR,180.35,2025-09-26,6,Put,160.00,-12.28%,0.39,0.43,8496,15071,"+10,093",0.56,67.77%,-0.059559,2025-09-19
